Tamano,Num. Vectores,Umbral insercion,Tiempo medio (ms),Num medio comparaciones,Num medio asignaciones
10,10,0,0,38,52
10,10,5,0,27,41
10,10,10,0,27,39
10,10,15,0,24,40
10,10,20,0,25,39
10,10,25,0,25,38
10,10,30,0,26,40
100,10,0,0,806,790
100,10,5,0,672,674
100,10,10,0,665,663
100,10,15,0,626,670
100,10,20,0,652,690
100,10,25,0,684,741
100,10,30,0,695,742
1000,10,0,1,11935,10279
1000,10,5,1,10684,9162
1000,10,10,1,10328,9016
1000,10,15,1,10451,9111
1000,10,20,1,10427,9395
1000,10,25,1,10698,9780
1000,10,30,1,10994,10114
10000,10,0,6,157922,126769
10000,10,5,7,147431,115207
10000,10,10,5,145372,113486
10000,10,15,5,143323,115137
10000,10,20,6,144239,117813
10000,10,25,5,146746,121427
10000,10,30,5,151093,124868
100000,10,0,49,1993827,1502229
100000,10,5,48,1872322,1386039
100000,10,10,29,1839017,1371637
100000,10,15,45,1841816,1386463
100000,10,20,44,1828788,1416685
100000,10,25,32,1894326,1445487
100000,10,30,42,1918315,1485970
1000000,10,0,371,23818966,17385389
1000000,10,5,303,22737474,16224950
1000000,10,10,311,22017769,16137220
1000000,10,15,252,22215416,16234096
1000000,10,20,246,22147632,16546949
1000000,10,25,244,23131011,16791494
1000000,10,30,225,23144564,17250154
10000000,10,0,4077,276001232,197906820
10000000,10,5,3010,266096512,185953176
10000000,10,10,2607,261309469,184703899
10000000,10,15,2487,261861361,186060443
10000000,10,20,2414,264506240,188640890
10000000,10,25,2361,264222866,192631902
10000000,10,30,2287,268282435,196422814
